ID,Marka
108,D-Smart Net
109,E-ticaret Marka Taklidiyle Dolandırıcılık
110,Sadenet
111,TÜVTÜRK
112,GetirYemek
113,PUBG (Pubgmobile.com)
114,AFAD
115,Aile ve Sosyal Hizmetler Bakanlığı
116,Anadolu Hayat Emeklilik
117,Mango
118,Benim Hocam Yayınevi
119,D&R
120,TOKİ
121,Telegram
122,LG
123,Renault
124,Vodafone Pay
125,Kredi ve Yurtlar Kurumu
126,iyzico
127,HP
128,Emniyet Genel Müdürlüğü
129,Şok Net
130,Fiat
131,Sefamerve
132,Sephora
133,Facebook
134,Bimcell
135,1xBet
136,Yves Rocher
137,T.C. Cumhurbaşkanlığı
138,Aliexpress
139,Stradivarius
140,İzmir Büyükşehir Belediyesi
141,Allianz Sigorta
142,Korkmaz Mutfak Eşyaları
143,Saat & Saat
144,Mondial Motor
145,Shell
146,Bets10
147,İETT - İstanbul Elektrik Tramvay Tünel
148,Grundig
149,Holiganbet
150,ÖSYM
151,Evde Paketleme Türkiye
152,Taze Çiçek (tazecicek.com)
153,Omix
154,Google
155,Jolly Tur
156,Casinoviva
157,Schafer
158,SunExpress Hava Yolları
159,BURULAŞ
160,Avva Giyim
161,Altus
162,Matadorbet
163,Medicana Hospitals
164,Bershka
165,MHRS - 182
166,GDZ Elektrik Dağıtım
167,Bahis Siteleri Adıyla Dolandırıcılık
168,Puma
169,Kablo TV
170,Queencasino
171,Molfix
172,Pamukkale Turizm
173,Tavuk Dünyası
174,Algida
175,Koton
176,AgeSA Hayat ve Emeklilik
177,Modalife
178,Anadolu Üniversitesi
179,Onwin Bahis
180,Turkcell Pasaj
181,Paribu
182,Yemeksepeti Market
183,Vodafone Her Şey Yanımda
184,GetirAraç
185,PTT Bank
186,Pull and Bear
187,Baymak
188,Devlet Kurumları ve STK'lar Adıyla Dolandırıcılık
189,RKS Motor
190,İtopya Bilgisayar
191,Sleepy
192,Profilo
193,Quick Sigorta
194,Avansas
195,Deichmann
196,Netspeed
197,Gelir İdaresi Başkanlığı
198,Eyyo Atelier
199,U.S. Polo Assn.
200,Evde Ekişi Paketleme
201,Axa Sigorta
202,Oppo
203,McDonald's
204,PancakeSwap
205,DemirDöküm
206,Boğaziçi Elektrik - BEDAŞ
207,Fibabanka
208,Pandora Mücevher
209,Peugeot
210,Konya Büyükşehir Belediyesi
211,Beymen
212,İŞKUR
213,Toroslar Elektrik Dağıtım
214,Philip Morris
215,Adalet Bakanlığı
216,QNB Finansinvest
217,DASK (Doğal Afet Sigortaları Kurumu)
218,Metlife Emeklilik ve Hayat
219,Masterpass
220,Starbucks
221,Eve
222,GeForce NOW powered by GAME+
223,Paribu Cineverse
224,Gmail
225,Dijitsu
226,Bursa Büyükşehir Belediyesi
227,KVK
228,Mondihome
229,H&M
230,EGO Genel Müdürlüğü
231,Playweez
232,Ford
233,Trendyol Hızlı Market
234,Lenovo Bilgisayar
235,YouTube
236,Sahabet
237,TCDD
238,Bambi Yatak
239,Google Play
240,HepsiPay
241,Karcher
242,Torku
243,Aksa Gaz
244,Daikin
245,Steam
246,BaşarıBet
247,ECA
248,Ali Osman Ulusoy
249,Jumbo
250,Cambly
251,Lumberjack
252,Sigortam.net
253,TEDAŞ
254,jigolositesi.com.tr
255,BinBin
256,Pronet
257,Kredi Kayıt Bürosu
258,Milli Piyango
259,Hyundai Assan
260,ERESTA (SMS)
261,İtemSatış
262,BMW
263,Marsbahis
264,Nüfus ve Vatandaşlık İşleri
265,SEDAŞ
266,Midas
267,Biletalsat.com
268,Bubilet
269,Shiny Force
270,PlayStation Türkiye
271,Nkolay
272,Hepiyi Sigorta
273,Fenerium
274,İpekyol
275,Pınar Et ve Süt
276,Bahiscasino
277,Paytr
278,Sompo
279,Taksiciler Odası
280,Petrol Ofisi
281,Şikayetvar
282,Çiçek Market
283,Gig Sigorta
284,idefix
285,Tipobet
286,101 Okey Plus
287,Chery
288,PeP
289,Volkswagen
290,Mado
291,Regal
292,Aktif Bank
293,TCL Televizyon
294,Yemeksepeti Mahalle
295,Hotels.com
296,istegelsin
297,Xiaomi Yetkili Servis (Evofone)
298,Koray Spor
299,Başkent Elektrik Dağıtım
300,Fansly
301,Garanti BBVA Emeklilik ve Hayat
302,Varan Turizm
303,Bupa Acıbadem Sigorta
304,Doğa Sigorta
305,Mariobet
306,Togg
307,Arnica Küçük Ev Aletleri
308,Bankacılık Düzenleme ve Denetleme Kurumu
309,Evidea
310,Flaw Wear
311,OrisBet
312,İDO
313,BiP
314,Casinom
315,BP Petrolleri
316,Dacia
317,Roborock
318,Network
319,Oysho Giyim
320,EA Sports
321,CK Boğaziçi Elektrik
322,YHT (Yüksek Hızlı Tren)
323,Vaillant
324,Kitapyurdu
325,Jooble.org
326,Apple Store
327,Bitci
328,Loreal Paris
329,HSBC
330,Vileda
331,Nestle
332,Bajaj
333,Kitapsepeti
334,Vicco
335,Alfemo
336,Garanti BBVA Yatırım
337,Birarabam
338,Evdemo Lojistik
339,Franke
340,İçim Süt ve Süt Ürünleri
341,Kent Kart
342,Betgit
343,Novar Poliklinik
344,Ekici Peynir
345,Bahis.com
346,Pilsan Oyuncak
347,Atasay Kuyumculuk
348,Tarafbet
349,CZ London
350,Toshiba TV
351,On Dijital Bankacılık
352,Hayat Su
353,Sennheiser
354,Supercell
355,Sağlam Lisans
356,Montajix
357,Cratos Royal Bet
358,Hepsiburada Market
359,Yüksek Seçim Kurulu (YSK)
360,Konfor Mobilya
361,BahseGel
362,Tepe Home
363,SC Sarvin
364,Onur Market
365,Robo
366,Hadi - TOMBANK
367,Duolingo
368,Tuba Mutioğlu
369,SuperFresh
370,Ak Yatırım
371,Poco Cep Telefonları
372,Doğa Koleji Eğitim Kurumları
373,Ankara Bilkent Şehir Hastanesi
374,GetirÇarşı
375,Akdeniz Elektrik Dağıtım
376,İGDAŞ
377,Step Master
378,Nespresso
379,RTÜK
380,The Purest Solutions
381,Gelecek Varlık Yönetim
382,Guess
383,SSC Tur
384,Payguru
385,Tlcasino
386,Airbnb
387,Makbul
388,Pttcell
389,Ulaştırma ve Altyapı Bakanlığı
390,Eskişehir Büyükşehir Belediyesi
391,Bambi Ayakkabı
392,Pepsi
393,Adana Büyükşehir Belediyesi
394,Mopaş Hipermarket
395,Avis
396,Evshop
397,Comnet
398,Zumla Sevgili Bul
399,Kuzey Marmara Otoyolu
400,Kontur Turizm
401,Bisu
402,Charmé Butik
403,MetropolCard
404,Riot Games
405,Youwin
406,Udemy
407,Ziraat Katılım Bankası
408,0850 484 05 24
409,Happy Center
410,Almanya Başkonsolosluğu
411,Discord.com
412,Yolcu360
413,Pre Dünyam
414,Tchibo
415,Matbet
416,Marshall Boya
417,Bosch Termoteknoloji
418,Jetlogi
419,BetKanyon
420,Kariyer Adam
421,Corby Drones
422,Mefete
423,Calvin Klein
424,Sarsılmaz Silah
425,YEDAŞ
426,Meysadesign
427,Paşabahçe
428,Mion
429,Astor Turizm
430,Bargello Perfume
431,Loft
432,Dünya Göz Hastanesi
433,Pegem.net
434,Saloon Burger
435,Tesla
436,DS Damat
437,Extranet
438,Güvence Hesabı
439,Mindguru
440,PizzaLazza
441,Warmhaus
442,Desa
443,NomuPay
444,Katılım Emeklilik
445,Betorspin
446,Mudo
447,Karayolları Genel Müdürlüğü
448,Qafiye Prive
449,Paketlemeacentesi (Instagram)
450,Jobseeker
451,Selin Shoes
452,RüzgarNet
453,By Zehra Türk
454,JTI
455,Butik Ponçik
456,Lescon
457,Sigorta Bilgi ve Gözetim Merkezi
458,Fortes Mühendislik
459,GamerMarkt
460,Gimsa
461,Tommy Hilfiger
462,TV8
463,Ghetto Swear
464,Axen
465,Fuzul Ev
466,Sek Süt
467,TP-Link
468,İzban
469,Little Caesars
470,Polisan
471,Corpus Sigorta
472,Ticaret Bakanlığı
473,Adobe
474,Yuki Motor
475,Tuttur
476,Vitra
477,Tokat Yıldızı
478,Çerezya
479,İpragaz
480,Open English
481,Skoda
482,Baby Mall
483,HangiKredi
484,İstanbul Kalesi Seyahat
485,Weltew Home
486,İstanbul Senin
487,sigortaladım.com
488,HD İskender Restaurant
489,SEG
490,Villa Seyahat
491,BetCiO
492,Baby Turco
493,Aypara
494,Wix.com
495,TESKİ
496,FaceApp
497,e-okul
498,İdaş
499,Aris Güzellik Merkezleri
500,Pilot Garage
501,Denebunu.com
502,Pendik Belediyesi
503,Pusulabet
504,S Sport Plus
505,UPTION
506,Dardanel
507,Kilim Mobilya
508,Ben Turizm
509,Sinerji Bilgisayar
510,Uğurlu Çeyiz
511,Yön İletişim - MNC Grup Telekominikasyon
512,Global Satış
513,Palette
514,Guncelsikayetlerimiz.com
515,Sony Eurasia
516,Midasbuy
517,Zbahis
518,Sixt
519,Padişahbet
520,Amerikan Kültür Yabancı Dil Kursları
521,Mubi Türkiye
522,Ucuzabilet
523,Lays
524,Motolux
525,Infinix
526,HB Bilişim
527,Betnbet
528,Patırtı
529,Eğlen Cepte
530,Lisansnet
531,Evmoda
532,Xbox
533,Aksu Çarşı
534,Whatsapp Aero
535,Apple TV
536,Sepaş Enerji
537,Tüketici Hakem Heyetleri
538,Sportive
539,İzmir Minibüsçüler Odası
540,Salomon Ayakkabı
541,Bianca Butik - Vanilin Design
542,DharmaCaim
543,Casper Via
544,KuCoin
545,Miele
546,Kayseri Büyükşehir Belediyesi
547,Hatay Büyükşehir Belediyesi
548,Bahçeşehir Koleji
549,Ersağ Paketleme
550,Tahsildaroğlu
551,Üçay Mühendislik
552,Eğitim Gönüllüleri Vakfı (Burs Başvuru)
553,Havaş
554,Maybelline New York
555,Reebok
556,OZSARICAM
557,İddaa
558,Tonguç Akademi
559,Urban Care
560,Goldmaster
561,Lamelif Giyim
562,Gökbey Seyahat
563,New Balance
564,Süvari Giyim
565,B&G Sportive
566,Zynga
567,HDI Fibaemeklilik
568,Betsat
569,Kıyafet Sepeti
570,BuharKeyf
571,Viennalife Emeklilik ve Hayat
572,Ethica Sigorta
573,Lidio Ödeme Hizmetleri
574,Vangölü Turizm
575,Pragmatic Play
576,Hammer Jack
577,Finish
578,Tat Gıda
579,GameSatış
580,Bezmiâlem Vakıf Üniversitesi Hastanesi
581,Tuba Butik
582,Reydeko Halı
583,Kim Market
584,Argivit
585,Allianz Yaşam ve Emeklilik
586,Özdilek AVM
587,Papuc Konağı
588,Macro Center
589,Ruffles
590,Ruum Store
591,Appleturkiye.com (özel)
592,Arcelikavm.com
593,indomie
594,Ankara Sigorta
595,Trident
596,Sevgilimehediyem.com
597,Sosyopix
598,Chakra
599,Vozol
600,Mavi Kargo Lojistik Hizmetleri
601,Elekse Ödeme Kuruluşu
602,Rayban
603,Milli Savunma Bakanlığı
604,Proteinocean
605,Romabet
606,Manisa Büyükşehir Belediyesi
607,İZGAZ
608,Restbet
609,Katılımoto
610,Adore Mobilya
611,Esenyurt Belediyesi
612,T.SUNBUL HUKUK (SMS)
613,Betpas
614,Casinomaxi
615,Payoneer
616,Western Union
617,ASICS
618,Anker Soundcore
619,Filli Boya
620,Başyazıcı
621,Şekerbank
622,TURKISS
623,Arvato Lojistik
624,Türk Eczacılar Birliği
625,We World Express
626,iloveshoes.com.tr
627,Gök Grup Depolama
628,Mardin Seyahat
629,HS Tasarım Organizasyon
630,Bahçelievler Belediyesi
631,British American Tobacco (BAT)
632,Pashagaming
633,Özel Medar Hastaneleri
634,Norabahis
635,Logitech
636,Meta Paketleme
637,HINTELHB (SMS)
638,Metrobahis
639,Sencard
640,Yaninet
641,Avec rent a car
642,Verifykit
643,Abdi İbrahim
644,TRT Çocuk
645,House of Superstep
646,ORIS Telekom
647,Troy Apple Premium Partner
648,Betmoon
649,Beyza Erdoğan
650,TCL Electronics
651,Halal Paradise Didim
652,Pınar Su ve İçecek
653,Yatsan
654,DHL
655,Atlasbet
656,CEO Ceylan Otantik
657,Bilginet Akademi
658,DYO Boya
659,Wee Baby
660,Harras
661,Betpublic
662,Godaddy
663,ASAT (Antalya Su İşleri)
664,Anpa Gross Market
665,Patiswiss
666,Blue Diamond
667,Chicco
668,Fedex
669,Tümbet
670,YönTürk İnternet
671,Calzedonia
672,Eker
673,Sanica
674,Armağan Oyuncak
675,Ferre
676,Alo 170 Çalışma ve Sosyal Güvenlik İletişim Merkezi
677,Ekinler Profesyonel El Aletleri
678,Happy Moon's
679,Bynogame
680,Bahisal
681,Gaziosmanpaşa Belediyesi
682,Ciceksepeti.net
683,Jeton
684,İklimsa
685,Tatbak Gıda
686,Sevgievim
687,Arabica Coffee House
688,Zeynep Boutique (Zen Tesettür)
689,By Merve Kaya
690,Petlas Lastik
691,Engince Yaşam Alanları
692,TREDAŞ
693,PTS Kargo
694,Türk Silahlı Kuvvetleri
695,MokkaBet
696,Addax
697,Mersin Nur Turizm
698,Minar Mobilya
699,Delonghi
700,Casinometropol
701,Türkkep
702,Organic Scarfs
703,Kütahya Porselen
704,Jandarma Genel Komutanlığı
705,Maltepe Belediyesi
706,KOSGEB
707,İstanbul Aydın Üniversitesi VM Medical Park Hastanesi
708,Freestyle Libre
709,Audi
710,arabam.com
711,Delta Teknik Servis
712,Ultrabet
713,Wunder
714,Avansaspro.com
715,Betsmove
716,Novacar
717,Özlem Cizre Nuh Turizm
718,LESEQUENCE
719,GREE Klima
720,0850 800 55 00
721,Merkez Çiçekçim
722,Aytemiz Akaryakıt
723,OEDAŞ
724,Ipsos
725,Casinowon
726,Usdtzad.com
727,Amigo
728,Fresh Scarfs
729,Probet
730,Dimes Gıda
731,RE/MAX
732,Donas
733,Tempobet
734,MESKİ
735,Fanta
736,HitBet
737,Antalya Net Seyahat
738,Penivagi Premium
739,TBB (Türkiye Bankalar Birliği)
740,Selçuklu Belediyesi (Konya)
741,Twitch
742,Elfida Moda
743,Emin Sigorta
744,Canva
745,Evdiz
746,Şahinbey Belediyesi
747,Kadıköy Belediyesi
748,Levi's
749,Tuğba Kuruyemiş
750,TT Smart - Mnc Grup
751,Kitapmatik.com.tr
752,İmece Tasarruf
753,Zirve Yazılım
754,BlaBlaCar
755,Bilet.com
756,Betwinner
757,Bercislina Güzellik Merkezi
758,Kappatur
759,Beylikdüzü Belediyesi
760,Mobilcasino
761,BygWear
762,YDS Boots
763,Otoyol A.Ş
764,Anadolu Net
765,Suud Collection
766,Araç Kiralama Markaları Adıyla Dolandırıcılık
767,Bursa Nilüfer Belediyesi
768,Ersoy Hastanesi
769,Jeanslab
770,Alternatif Bank
771,Koru Hastanesi
772,Betibom
773,Kızılay Sağlık Grubu
774,Kidega
775,Mükellef (mukellef.co)
776,Jacobs
777,Naos Stars
778,Rivaİstanbul
779,Genciz Biz
780,Çankaya Belediyesi
781,NadirKitap
782,Lüks Karadeniz
783,Uni Baby
784,Alaçatı Muhallebicisi
785,Clash of Clans
786,Cizre Nuh İtimat
787,Etimesgut Belediyesi
788,Yeşil Kundura
789,Zeplin Car Rental
790,Crocs Terlik & Ayakkabı
791,Dara Aksesuar
792,H&R Butik
793,Palacebet
794,Köfteci Ramiz
795,Volvo
796,Hotmail.com
797,Kayra Giyim
798,Türkiye Hastanesi
799,Haydigiy.com
800,Katılımevim
801,GoStudent
802,Remini
803,Yunus Market
804,Ender Mağazaları
805,SPX
806,Financell (Turkcell Finansman)
807,Yui
808,Penta Teknoloji
809,Erzurum Büyükşehir Belediyesi
810,Kraft Baby
811,Rubrax
812,New Well
813,Enerjisa Başkent Elektrik Perakende
814,Vbettr
815,Gebze Belediyesi
816,Pasaport Pizza
817,Master Card
818,Betdog
819,RadissonBet
820,Kale
821,Enerjisa Toroslar Elektrik Perakende
822,Alarko Carrier
823,Crystal Hotels
824,Maritbet
825,Goon Bebek Bezi
826,Playcenter
827,Perde.com
828,Gaming.gen.tr
829,Ege Üniversitesi Hastanesi
830,Yalı Spor
831,Fullamoda
832,SASKİ
833,Alveus
834,Gallery Crystal
835,Vatangame.com
836,Gloria Jean's Coffees
837,Gaus
838,Öz Çeyiz (ozceyiz.com)
839,Deji Mucize Batarya
840,Hero Motosiklet
841,Prins
842,Kahramanmaraş Büyükşehir Belediyesi
843,Metro İstanbul
844,Sante Çağrı Merkezi
845,otoplus letgo
846,Aspercasino
847,Trabzon Büyükşehir Belediyesi
848,360 Vrtube
849,Fix Center Telekomünikasyon
850,Abant Su
851,Corendon Airlines
852,Ayrem Korse
853,Helppay
854,Balıkesir Hakser Turizm
855,Teksüt
856,Golf Dondurma
857,Kolaybet
858,Getcontact
859,Octovan Express
860,Küçükçekmece Belediyesi
861,Raid
862,Midpoint
863,Bebelac
864,Sırma
865,Bittroy
866,Piyale
867,Bilicra
868,Nakitbahis
869,Roidmi
870,Hawk Gaming Chair
871,Btk Akademi
872,Atiker
873,Mardin Büyükşehir Belediyesi
874,Eyüp Sabri Tuncer
875,Bodrum Belediyesi
876,Umran Oto Ekspertiz
877,İncimia Design
878,Beşir Derneği
879,Etsy.com
880,Kalitebet
881,Epin Tower
882,Zincirwear
883,Betrar
884,YKM
885,Duymer İşitme Cihazları
886,Gofeel
887,Aresbet
888,UNICEF
889,Prime Video (Amazon)
890,GKN Kargo
891,Sinotrans Makzume Lojistik
892,King
893,İpek Mobilya
894,TEB Yatırım
895,Aspanda Butik
896,Under Armour
897,Connected2.me
898,Bayigram.com
899,Kulisbet
900,Pokus
901,Sneakersonline.tr
902,Prensbet
903,Kodland
904,Star Diyarbakır
905,Özel Ekol Hastanesi (İzmir)
906,ideaSoft
907,Veni Vidi Göz Sağlık Grubu
908,0850 678 03 71
909,Beltur
910,Tuborg
911,Bimasraf
912,NFC Hukuk (SMS)
913,Tamadres.com
914,Oyunexe
915,Pembe Panjur
916,Modakaşmir
917,Birikim Varlık Yönetim
918,Bella Maison
919,Almanbahis
920,Maruderm
921,Esadaş Turizm
922,DGN - Doğan Çanta
923,Setrms
924,Pin-Up Casino
925,Trendyolmall1.com
926,Sporthink
927,Bioxcin
928,BLS International
929,Evofone
930,DüğünümüzVar
931,LNT Step
932,MIEKO
933,Anadolu Efes
934,Polaris
935,So CHIC
936,Hepsiemlak
937,TÜRSAB
938,Lüks Adana
939,Coral Travel
940,FlixBus Türkiye
941,San Kuaför
942,Zip Finansman
943,Elenorbet
944,Kültür ve Turizm Bakanlığı
945,Mobile2
946,Marjin Ayakkabı
947,Gant
948,Betvole
949,Toptanara
950,Ferroli Türkiye
951,Tahtakale Spot
952,Jimmy Key
953,TARSİM
954,Marmara Üniversitesi Pendik Eğitim ve Araştırma Hastanesi
955,Şişli Hamidiye Etfal Eğitim ve Araştırma Hastanesi
956,Kiehl's
957,Touché Privé
958,Asis Elektronik
959,Pozitif Teknoloji
960,İnternet Kutusu Telekom
961,Lotto
962,Özşanal
963,Duracell
964,MACfit (Ankara)
965,Playland
966,inaktuel.com
967,Jetbahis
968,evdeeczane.com
969,Colendi
970,Yörükoğlu
971,Cinema Pink
972,Troy Ödeme
973,Tineco
974,Best Van Turizm
975,Gold İstanbul
976,Duru Bulgur
977,MSI Türkiye
978,Sensodyne
979,Fenerbahçe Spor Kulübü
980,Zümrüt Turizm
981,BNP Paribas Cardif Sigorta
982,Aramex
983,Sigortayeri
984,ATOMYAZILIM (SMS)
985,Deniz Butik
986,Poyraz WiFi
987,Kwai
988,Milyoner
989,Seat
990,Falcon
991,Remington
992,Antalya Kart
993,Silveryol
994,Caffé Nero
995,Perfect CV (perfect-cv.com)
996,KARACA HUKUK (SMS)
997,AtlantisNet
998,Biezy Butik
999,Kinder
1000,Dokuz Eylül Üniversitesi Tıp Fakültesi
1001,EyüpSultan Belediyesi
1002,Aktif FX
1003,Victoria's Secret
1004,Kalitek Damla Sulama Sistemleri
1005,OKX
1006,OXXO
1007,Piranha
1008,Lensci.com
1009,Orzax İlaç
1010,Betasus
1011,Copa
1012,Dreame
1013,Düzce Güven Turizm
1014,Samsonite
1015,Paraşüt
1016,Halktan Kuruyemiş
1017,Altınsefa (altinsefa.com.tr)
1018,BanaBiKurye
1019,Betsalvador
1020,EzGlobal
1021,Hakmar Express
1022,Gbakiyem
1023,Esenler Belediyesi
1024,Antalya Muratpaşa Belediyesi
1025,Egepol Hastanesi
1026,Zirvem Otomotiv
1027,Ok Roses
1028,Oral - B
1029,TravelPass Holidays
1030,Cookshop
1031,Aytaç Gıda
1032,Yumoş
1033,Pulibet
1034,Queenzz Estetik ve Güzellik Merkezi
1035,Solante
1036,Fups
1037,Aymira Koçaklı Yaşam Merkezi
1038,Kağıthane Belediyesi
1039,Peyman
1040,Kocaeli Üniversitesi Hastanesi
1041,İstanbul Üniversitesi Tıp Fakültesi
1042,Kırıkkale Belediyesi
1043,Müze Kart
1044,Ay Telekom
1045,James Donkey
1046,Lunabet
1047,Hisar Veraset Ve Harçlar Vergi Dairesi
1048,Şehri Moda Butik
1049,Kargola.com
1050,İnci Akü
1051,Togg Trumore
1052,Öz Has Bingöl Turizm
1053,Alvina
1054,Artemisbet
1055,Zühre Ana
1056,Kargon İletişim Reklam
1057,Bahis1000
1058,Selim Vakfı
1059,Gaming Curacao
1060,Anda İhtiyaç ve Tüketim Maddeleri
1061,Telekomat.net
1062,Mono App
1063,Wiami
1064,İlayda Çamur (Bi' Butik)
1065,BRC Kargo Dağıtım
1066,Sincan Belediyesi
1067,Suzuki
1068,Melvien
1069,İder Mobilya
1070,Aksa Fırat Elektrik Dağıtım
1071,Bien Seramik
1072,Molped
1073,Dragon Call Center
1074,Aras Elektrik Dağıtım
1075,Yesbet
1076,Aspar Yatırım
1077,Cesur Bingöl Turizm
1078,Milka
1079,Jokerbet
1080,Narpump
1081,Betrupi
1082,Beykoz Belediyesi
1083,Türk Eğitim Vakfı
1084,4inFX
1085,E-Güven
1086,Bionluk (bionluk.com)
1087,Daylux
1088,Merkez Prime Hastanesi (Gebze)
1089,Samsun Büyükşehir Belediyesi
1090,Şanal Kırşehir Seyahat
1091,Mitsubishi Electric
1092,Kurukahveci Mehmet Efendi
1093,Natro Hosting
1094,Kepez Belediyesi
1095,Göztepe Prof. Dr. Süleyman Yalçın Şehir Hastanesi
1096,Brandy's
1097,PO Sosyal Lig
1098,Kuveyt Menkul Değerler
1099,Bilet Dükkanı
1100,Linens
1101,Nimet Gıda
1102,Kaira Klima
1103,İSMEK
1104,Bonheur Bag
1105,Necmettin Erbakan Üniversitesi Meram Tıp Fakültesi Hastanesi
1106,Özel Hayat Hastanesi (Bursa)
1107,Kingroyal Bahis
1108,Biletino
1109,Poker Klas
1110,Bitlo
1111,OiOi
1112,Beyond VR
1113,Kurumsal Paketleme
1114,Misliwin
1115,Clinique Türkiye
1116,Bursa Yıldırım Belediyesi
1117,Gazdaş Gaziantep Bölgesi
1118,Kalabak Su
1119,Erxbet
1120,Bebekcity.com
1121,Atom Bilişim
1122,Vippark
1123,Baby Plus
1124,Icrypex
1125,Bircançil Butik
1126,Gameofbet
1127,Lee Cooper
1128,Lider Travel Vip
1129,Kanuni Sultan Süleyman Eğitim Araştırma Hastanesi
1130,Nesinecasino
1131,Scannero
1132,Öz Sivas Seyahat
1133,Gedik Piliç
1134,Mesudiyeli
1135,Soultech
1136,Pelin Şenoğlu Boutique
1137,Frink
1138,Paybull
1139,Walmart
1140,İzmir Özel Can Hastanesi
1141,Usdtzer.com
1142,Kamualim.com
1143,Azar Chat
1144,Bliss Atelier
1145,Manisa Su ve Kanalizasyon İdaresi
1146,Creavit
1147,Adıyaman Ünal Turizm
1148,Fiskobirlik
1149,Sarıyer Belediyesi
1150,"Anadolu Hastanesi (Silivri, Avcılar, Ereğli)"
1151,Ucuzkitapal.com
1152,Avast
1153,Delfi Market Lojistik Pazarlama
1154,Yükseköğretim Kurulu (YÖK)
1155,Konya Minibüsçüler Odası
1156,Sivas Belediyesi
1157,Seçil Store
1158,Kuşadası Belediyesi
1159,Nuh'un Ankara Makarnası
1160,Turna.com
1161,MrBahis
1162,Slotbar
1163,Toptan Kavanoz
1164,Borusan Oto
1165,cutt.ly
1166,Ramsey
1167,Florence Nightingale Hastaneleri
1168,Protherm
1169,Piranlar
1170,W Collection
1171,indeed
1172,Luppo
1173,Turlasana
1174,Obsesso
1175,Exvega
1176,Yuvamız İstanbul
1177,Yeni Koza Tekstil
1178,Özlem Diyarbakır
1179,Hisar Sofra Sanatı
1180,İnan Turizm
1181,Sarıkız Maden Suyu
1182,Gestaş Deniz Ulaşım
1183,Only Trend Wear
1184,Wolf Markets
1185,Mall Of İstanbul
1186,Tab Gıda
1187,Global Blue
1188,Aris Ezgi Doğan Polikliniği
1189,Ortak Varlık Yönetim
1190,Öykü Fashion
1191,PayGo
1192,Medical Point İzmir Hastanesi
1193,Maret
1194,Zaferbet
1195,0850 255 73 73
1196,ZirveBet
1197,Kadehci.com
1198,Yeşil Erciş Seyahat
1199,Mersin Şehir Hastanesi
1200,Stilzade Moda
1201,Mounte Bianca
1202,Ekol Giyim
1203,Dockers
1204,İstinyePark
1205,Ariel Deterjan
1206,Özel Optimed Hastanesi
1207,Bnbpro Trade
1208,Momento
1209,Alanya Belediyesi
1210,112 Acil Servis
1211,Meltem Modüler Mobilya
1212,İstanbul Halk Ekmek
1213,İntfa Tarım
1214,Elvan Gıda
1215,Veet
1216,Betcup
1217,Ttec
1218,Bursa Minibüsçüler Odası
1219,Osmanlı Menkul Yatırım
1220,Özlem Van Turizm
1221,Parolapara
1222,Betsortie
1223,Betosfer
1224,Dilek Pastanesi
1225,Şölen Çikolata
1226,Reyap Hastanesi
1227,Yakabet
1228,İyilik Vakfı (Burs Başvuru)
1229,Ev Dekor Plaza
1230,Vitaminler.com
1231,Madridbet
1232,Seç Market
1233,SteelSeries
1234,Fit & Alive
1235,Gp Kompozit
1236,Portobet
1237,Royalbahis
1238,Arena Bilgisayar
