ID,Sikayet Icerigi
15,Karaca müşteri hizmetleri size kesinlikle geri dönüş yapmıyor defalarca konuştum. Defalarca aradım mağazalarla görüştüm fakat Karaca hem müşteri hizmetlerinde hem de garanti konusunda satış sonrası kesinlikle sizinle ilgilenmiyor. Her konuşmamızda size yarın geri dönüş sağlanacak diyorlar fakat tam 2 hafta oldu ne arayan var ne soran
16,"Yaklaşık bir hafta önce Vodafone D***** B**** H** - Çağrı İletişim bayisine giderek, kendi kullandığım ancak babamın adına kayıtlı olan telefon numarasını kendi üzerime devir etmek istediğimi söyledim. Bayideki çalışanlar, yasal hat sahibi ile devir sahibinin birlikte gelerek dilekçe vermesi gerektiği, akabinde devir işleminin yapılabileceğini söyledi. Kendilerine yasal hat sahibi tarafından verilen avukatlık vekaletnamesine sahip olduğumu söyleyerek her türlü imza yetkisine sahip olduğumu ve dilekçe verebileceğimi söyledim. Ancak çalışan kişiler vekaletnamenin ne olduğunu bildiklerini, ancak vekaletname ile işlem yapmayacaklarını söyledi. Bunun üzerine Vodafone müşteri hizmetleri ile online olarak yaptığım görüşme sonucu durumu anlattım, ancak onlar da yasal mevzuat gereği vekaletname içeriğinde ""mobil hat devri yapabilir"" ibaresinin bulunması gerektiğini, aksi takdirde işlem yapılmayacağını ilettiler. İlgili ibareyi hangi mevzuata göre yazması gerektiğini sorduğumda ise bilmediklerini ve daha fazla yardımcı olamayacaklarını söyleyerek görüşmeyi sonlandırdılar. Vodafone'un hiçbir yasal gerekçe göstermeden tapu devri bile yapabildiğim avukatlık vekaletnamesini kabul etmeyip hat devir işlemi yapmamıştır. Beni mağdur etmiştir, ilerleyen günlerde aboneliğimi iptal ettirip yasal yollara başvuracağım."
17,"Benim bundan bir buçuk ay önce oğlum sünnet oldu. Hâlâ iyileşemedi, psikolojik olarak kötü durumda. Sünnet yaşadığı korkuyu atlatamıyor, kıyafet bile giyemiyor. Çalışanlarından bazıları çok saygısız. Umarım bu mesajı biri okur da orada asla sünnet ettirmeyiz. Lütfen, biz bu süreci atlatmaya çalışıyoruz."
18,"Merhaba, Step Up uygulamasıyla görevleri yerine getirdim ve kazandım. 6 gün oldu, 96. sıradayım ve ilerlemiyor bile. Uygulamayı Google Play Store üzerinden indirdim. Önceden 20 kuruş gönderiyordu ama şimdi kazancı göndermiyor. Çözüm olacağını düşünmüyorum ama yine de şikayet edeyim."
19,KPSS 2024 ön lisans başvurusu yaptım ama ücretini yatırmadım. 2024 KPSS ortaöğretime gireceğimden dolayı herhangi bir problem olur mu? 2024 KPSS ön lisansa başvuru yaptım ama ücretini ödemediğim için iptal olacak. Zaten ortaöğretime yapacağım başvuruyu etkiler mi ya da yapabilir miyim?
20,"Bu oyun para falan vermiyor, sürekli oyalıyor. Kimse oynamasın. 1 haftadır uğraşıyorum görevleri tamamlamak için. Görevleri bitirdim ama yine para falan yatmadı. Bu nasıl bir oyun, başka bir şey değil. Kimse oynamasın arkadaşlar, para falan vermiyorlar."
21,"Bu oyun para falan vermiyor, sürekli oyalıyor. Kimse oynamasın. 1 haftadır uğraşıyorum görevleri tamamlamak için. Görevleri bitirdim ama yine para falan yatmadı. Bu nasıl bir oyun, başka bir şey değil. Kimse oynamasın arkadaşlar, para falan vermiyorlar."
22,Merhaba 1 yıldır Vodafone kullanıcısıyım. 269 TL lik taahhüdüm ay sonu bitiyor ve sunulan teklif şu an ki kullandığım tarife ücretinin yaklaşık 2 katı. Lütfen daha uygun teklif veriniz. Aksi bir durumda farklı bir operatör e geçmek zorunda kalacağım.
23,Vodafone mobil ödeme hizmeti 2750 TL olan işlem limit bir anda 1000 TL'ye düştü ben banka kartım yerine mobil ödemeyi kullanamıyorum lütfen bunu eski haline çevirin Vodafone Pay'i de yükledim 1000 TL üstüne çıkmıyor. Zaten yapay zekanızda hiçbir işe yaramıyor. Beni aramayın lütfen aylık limitimi tekrar 2750 TL yapın. Aylardır binlerce tl fatura ödüyorum aksatmadan neden düşürüyorsunuz limitimi? Dediğim gibi gereksiz yere aramayın çünkü görmüyorum sonra size ulaşamıyorum.
24,"VakıfBank'dan kullanmış olduğum bireysel kredinin içerisinden 787,50 lira Kazandıran tarife adı altında bir kesinti yapılmış. Ben böyle bir şey satın almayı talep etmedim. Tarafımdan haksız olarak yapılan bu kesintinin iptalini ve iadesini talep ediyorum. Sorunumun çözüme kavuşturulmasını istiyorum. Vb. Müşteri No:445005024623"
25,"Merhaba, daha önce kendilerine evden çalışma durumumun iptal olmasından dolayı spor salonunu kullanamayacağımı ilettim ancak ücret iadesi yapamadıklarını ilettiler. Daha sonra üyelik dondurma önerdiler. Mecbur kabul ettim. Artık evden çalışmayıp ofise gittiğim için yetişemiyorum ve gitmediğim bir yere para ödüyorum. Acil olarak paramın iade olmasını istiyorum. Sözleşmede olmayan maddeleri var gibi göstererek istediğim tarihte üyelik iptalim yapılmamıştır. Avukat arkadaşım ile görüştüğümde de bunun yasal olmadığı iletildi. Üsküdar şubeniz tarafından oyalandım. Acil iade istiyorum."
26,"VakıfBank mobil üzerinden 02.07.2024 saat 13:33 tarihinde 10.000 Türk lirası kredi kullandım. Hesabımdan 'kazandıran tarife' ücreti adı altında 787,50 Türk lirası kesinti yapıldı. Bahse konu sigorta ve sigortacılık mevzuatıyla ilgili Bankacılık Düzenleme ve Denetleme Kurumu (BDDK) tebliğleri ve 6502 sayılı Tüketicinin Korunması Hakkında Kanun'un ilgili maddesi gereği tutarın müşteri hesabına iadesi gerekmektedir. Bu bağlamda, çekmiş olduğum ve zorunlu olarak kabul ettiğim kredime ait söz konusu 'kazandıran tarife' adı altında kesilen ücretin iptal edilerek hesabıma iade edilmesini talep ediyorum. Hesabıma iade yapılmadığı takdirde Tüketici Hakem Heyeti'ne başvuracağımı ve tüm hukuki haklarımı kullanacağımı bildirmek isterim."
27,"Saat 00.35'te kalkması gereken uçağa insanları bindirip uçağın içinde rötar yaptırdılar. Saat şu an 3, iniş sağlandı. Şu an uçağın içinden yazıyorum, rahat yarım saattir indik, halen kapılar açılmıyor. İnsanlar rehine gibi çıldırmış vaziyette. Sebebi nedir bilmiyorum fakat vermiş olduğumuz paraya üzüldük açıkçası."
28,"RKS Vieste 249 motorumun anahtarları kayboldu. Hangi servise gittiysem parça temini yapamıyorlar. Bu nasıl iş anlamıyorum, 2 buçuk aydır motorumu kullanamıyorum. Fabrikada parça yokmuş ve hala gelmedi diyorlar. 160 bin liralık motor hurda gibi duruyor. Bu kadar umursamazlık olamaz."
29,Çocuklar benden habersiz telefonuma remine uygulamasını indirdi. Üyelik iptal etmeme rağmen iptal olmamış. Kartımdan benden habersiz para çekilmiş. Üyeliği tekrar iptal ettim ama ücret İade edilmedi ve geri dönüş yapılmadı para iadesi talep ediyorum.
30,35 dakikadır müşteri hizmetlerine ulaşamıyorum. Ulaştıktan sonra bölgesel bir sıkıntı olduğu söylendi. Müşteri temsilcisinin sesini alamadım yüzüme kapattı. Her ay sürekli şikayet kaydı bırakıyorum düzenli olarak internetim kopuyor BTK şikayetlerimde mevcut. Herhangi bir özür herhangi bir dönüş sağlanmıyor
31,13 Haziran Stuttgart-İstanbul Pegasus Havayolları uçuşumda bagajım kayboldu. Ertesi gün bagajımın geleceği söylendi ama hiçbir özel eşyam ve kıyafetim olmadığı için mağduriyet yaşadım. Alışveriş yapmak zorunda kaldım. Havaalanına tekrar gidip gelmek zorunda kaldım. Bu konu ile ilgili mağduriyetimi mail ile bildirip yapmış olduğum masrafların fişlerini ilettim ve tarafıma en kısa süre içinde dönüş yapıp ödenmesini talep ediyorum.
32,"Sığınmacı istemiyorum oyunda. Ben artık Suriyeliler ile oynamak istemiyorum, sürekli küfür ve hakaret içeriyor. Ya bu oyunu adam gibi ayırın ya da kapatın. Bunlarla zaten normal hayatta sorun yaşıyoruz. Bari sanalda uzak kalsınlar, yeter dayanılır gibi değil. İki kelime Türkçe öğrenmişler, o da sadece küfür."
33,Vodafone ev interneti sorunum yaklaşık 1 aydan beri devam ediyor. Müşteri hizmetleri ile bu süreçte sayısız görüşmem oldu. İnternet erişimimin sürekli koptuğunu hız testlerinde de kendileri defalarca teyit ettiler. 12 saatte 23 adet kopma yaşadığımı bizzat kendileri söylediler. Türk Telekom arıza ekipleri arızanın modemden kaynaklı olduğunu söylemelerine rağmen ve modemimin 3 ay garanti süresini sanki sürekli geçirmeye çalışıyorlar. İnanın sinir sistemim bozuldu. Ben bu kadar sorun çözemez bir sistem görmedim. Bu problemimi yasal yollarla çözmeye çalışacağım. Yazıklar olsun. Ayıp ayıp...
34,"A101 marketten 16.03.2024 tarihinde almış olduğum Philips marka 10.000 Mah lik powerbank sadece 3 kullanımda bozuldu. Almış olduğum A101 mağazasına gittim. Tedarikçi firma olan Boğaziçi bilgisayar ile iletişime geçmem söylendi. Onları aradım bana A101 in bu konular ile ilgilendiğini belirttiği 0533 *** ** 88 numaralı telefonunu verdi. Arıyorum arıyorum yanıtlayan yok. Sözde ürünün 2 yıl garantisi var. Yine A101 yine şaşırtmadı. Bozuk cihaz elimde kaldı, karşımda muhatap yok."
35,"Canlı yayındaki paramı çekmek için benden kimlik doğrulaması istedi. Ben de kartım yok diye annemin kimlik doğrulamasını yaptım. Annemin banka hesabının olduğunu sanıyordum. Meğerse onun da yokmuş, şimdi de kimlik değişimi yapamıyorum. Param orada öyle kaldı, lütfen bana yardım edin. Bir sürü emek verdim. Ben o hesaba"
36,"Aylık 140 TL'lik taahhüdüm olduğu ve herhangi bir aşımda da bulunmadığım halde bana her ay kafasına göre fatura gönderen Vodafone, sen iflah olmazsın. Ne müşteri hizmetlerinize ulaşmak mümkün ne de müşteri temsilcilerinizin bir şeyden anladıkları var. Taahhüdüm bitse de kurtulsam."
37,Merhaba arkadaşlar başvuru yapan arkadaşlara sormak istiyorum. Bu tarz evde paketleme başvuruları genelde güvenilir olmayıp para yatırmanızı İstiyorlar yapmadığınız takdirde adınıza işlem başlatacağız diye para kazanmaya çalışıyorlar. İŞKUR'un kendi sitesinden girip baktığım zaman böyle bir iş başvurusu çıkmıyor. Cevap alan işe başlayan var mı aranızda?
38,"Sürüş puanım düşük olduğu için bir süre sizi misafir edemeyeceğini söyleyen Tiktak uygulaması, 1 senedir hiçbir şekilde geri dönüş yapmadı. Ne zamana kadar bu şekilde uygulamadan yararlanamayacağım? 1 senedir bekliyorum. Hiçbir şekilde bu süre zarfında tekrardan kiralama yapabileceğimi belirtmedi."
39,Unkapanı SGK ölüm karar 2 birimine 6 ay oldu dilekçe yazdım yetim aylığım hala bağlanmadı sonuç bekliyorum. Aradığım da ise hiçbir müşteri hizmetleri bağlanmıyor ne yapmak lazım? Çözüm odağı bulamıyorum muhatap yok lütfen geri dönüş yapınız mağdur durumda kaldım
40,"T Telekom mobil tarifem Kamu 15 GB ve 60-70 TL iken taahhüdüm bitti diyerek en üst tarife olan Rakipsiz Kamu 30 GB tarifesine geçirdi. Faturam 407,85 TL'ye yükseldi, üstelik bilgim yokken oldu. Bu durum müşteri hizmetlerini arıyorum, düzeltmiyor. Alt paket 20 GB istesem de düşürmüyor fiyatı ve daha yüksek fiyat çıkarıyor."
41,Kızım meslek lisesinde kimya bölümü zor şartlarda okula yolluyordum. 4 dersinden 2-3 puanla kaldı bölüm ve edebiyat derslerinden geçmişti. Okuldan alma durumuna düşüyorum okul hayati bitecek eşim yüzünden. Bu uygulama neden 9. Sınıflarda var da 10-11-12 sınıflarında yok haksızlık oluyor LGS yi zor bitirmişlerdi zaten. Lütfen Bakanım af ya da kaldıkları derslerden telafi sınavı olsun.
42,"7 Eylül 2023 tarihinde Amazon Shopping uygulaması üzerinden almış olduğum HyperX Cloud 2 kulaklığımın mikrofonu 1 Temmuz 2024 tarihinde kendi kendine çalışmamaya başladı. Ses testleri yapıyorum ama ses yok, çalışmıyor. Kablolarını kontrol ettik, yırtık veya eziklik yok. Kulaklık yere de düşmedi. Mikrofonu çıkarıp temizledim, mikrofonun jack girişini temizledim ama fayda etmedi. Mail atıyorum destek için, geri dönüş sağlanmıyor. Mağdur mu olacağım acaba? O kadar para verdim."
43,"1 sene önce satın aldığım Monster A5 V19.3 notebook, hangi oyunu oynarsam oynayayım 40 FPS'den fazla vermedi. 2015 Lenovo notebook ile Counter Strike ve Witcher 3 oynarken 150 FPS'den az almazken bu notebookta maksimum aldığım 40 FPS. İnternette yazan tüm FPS artırma videolarını izleyip yapmama rağmen GeForce Experience üzerinde daha hiçbir oyunu optimize dahi etmiyor bilgisayar. Yazık gerçekten yazık, günah ya. Vallahi yazık günah. 50 tane söyleyecek şeyim vardı, hiçbir şey söylemeyeceğim ben. Gerçekten yazık kafanıza. Kafanız da yok. Niye yazık olacak ki? Tekrar selam, küçük çaplı bir sinir krizi atlattıktan sonra. Hayat. Ya ben mi isteyeyim takıma nasıl oluyorsa 4 tane efsane atıyor arkadaşlar, nasıl oluyor bilmiyorum. Yani sezon başı ama sezon başını geçtik, yani 10 gün oldu. Herhalde sezon. Sıfırdan tabii bu, 10 gün oldu. Yani o zaman niye birlik oluyor. Bak, eksiğim mi bölüyorsun güzel kardeşim, yardım etmiyorsun bana. Kanka, canım, balım. Bilmiyorum ya, biraz gergin olduğum için şu an. Mesela kanki, normalde 5 tane dilimi çalsa bir şey demem ama bir tane kelime çalsa biz sinirleniyorum. Para vermem lazım yine ben. Bugün için bahsediyorum, biraz üst üste geldiği için. Arkadaşlar, vallahi ya hadi, hadi devam. Ettiriyor. Video yapsın her şekilde bomba falan. Oldu mu? Sormana gideceğim, sormam. Allah'ım kardeşim niye böylesin ya."
44,"1840.85 TL tutarında firmanın e-ticaret üzerinden alışveriş yaptım. Sipariş numarası IJT0090055269 olan ürünlerimin aciliyeti vardır. Takip yapamıyorum. Rica ediyorum, biri beni bilgilendirsin. Bana ulaşırsanız sevinirim. Kaç gün oldu, mail dahi yok, rica ediyorum."
45,"Butikponcik ürünlerimi zamanında göndermedi. Benim gibi mağdur olan arkadaşlar, toplanıp mahkemeye başvuralım. Korkmayın arkadaşlar, hakkımızı arıyoruz. Çocuğumuzun rızkını bu duruma harcamayalım. Destek verin, bu durumu şikayet edelim."
46,"Metro Turizm 02.07.2024 saat 21.30 otobüsü 3.5 saat dediği yola 5 saat oldu hala gelemedik. Araç içerisindekilerin tavırları zaten sanki geç kalan bizmişiz gibi davranıyorlar. Sürekli dur kalk yapıyorlar, yolu bile bilmiyorlar. AŞTİ'den çıktık Ümitköy'e gittik, geri Eskişehir yolundan bağlandık."
47,"Ankara Sincan Cemal Yüksel İlkokulu'na bağış yapmayınca anasınıfına öğrenci almıyorlar. Okul müdürü Y****** Hanım, sabah saatlerinde gelen 5 veliden aidat dahil 9500 lira yatırmaları karşılığında kayıtlarının olacağını söylerken işine gelmeyen anasınıfı öğrencisini de yaşı küçük, seneye 1'e gel diyerek okula almıyor. Bu mudur? Biz veliler olarak artık emekli olmalı. Gereğini arz ederiz."
48,"Yapı Kredi Bankası kredi kartımla 4 adet alışveriş yapılmış. 23 Mayıs tarihinde, saat 00.30 ile 04.30 arası bu işlemler bana ait olmadığı için harcama itirazında bulundum. 3 tanesi ertesi gün hesabıma iade edildi, 430.37 TL tutarındaki BiTaksi uygulamasından çekilen ücret iade edilmedi. Kart bilgilerim kopyalanarak yapılan bu harcamaları savcılığa suç duyurusunda bulunarak ihbar etmeme rağmen hala Yapı Kredi Bankası paramı hesabıma iade etmedi. Paramın iadesini talep ederim."
49,"Vodafone Net müşteri hizmetleri 1 saattir bekletiyor. Gece müşteri temsilcisi yok, insanları boşuna bekletiyorlar. İnternet gitti, dönüş yapmıyorlar. Vodafone Net pişmanlıktır. Kesinlikle abonelik iptal edin. İnsanları abone yaptıktan sonra telefon açmayıp mağdur ediyorlar."
50,"İki gündür 20 günlük bebeğime kullanıyorum. Doktor tavsiyesi üzerine aldım ama bebeğim sürekli ağlıyor, susturamıyorum. Bu nasıl bir bebek ilacı anlamadım. Bitkisel diye sattığınız bu ürün bebeklere sadece eziyet ediyor. Bu ürün kalkmalı, bence satılmamalı."
51,Kargom 4 gündür Kocaeli mikro şubesinde bekliyor dağıtıma çıkmıyor. Arıyorum telefonları açan yok. Genel merkezi arıyorum ulaşamıyorum. Bu ne saçmalık. Kargomun artık elime ulaşmasını istiyorum. Canlı destekten ulaşabildim bir tek ondanda dönüş sağlanmadı
52,"02.07.2024 sabun paketleme T.C. İsim Soy İsim açık adres IBAN verdim. Herhangi bir şey olmasına karşı buraya yazıyorum. Ben hiçbir şey imzalamadım, bu da ispatım. Kendimi güvenceye almam lazım. Aşağıda da fotoğrafta paylaştığım gibi görüyorsunuz, her şey ortada."
53,"Öncelikle araç 30 dakika geç kalktı. Muavin 18 yaşından küçük bir arkadaştı ve muavinlikle alakası yoktu. Soru soran yolculara çok ters cevaplar verdi. Sonradan öğrendiğimiz kadarıyla şoförlerin birinin oğluymuş zaten. Arabada defalarca yolcuların yerleri değiştirildi. Bileti alırken otobüsün özelliklerinin yazdığı yerde Wi-Fi, koltuk ekranı ve priz özelliklerinin olduğu yazıyordu fakat araç kalktıktan sonra muavine wi-fi şifresini sorduğumuzda yüzümüze bile bakmadan sert bir tavırla “wi-fi mi-fi” yok gibi cevap aldık. Koltuk ekranlarının hiçbiri çalışmıyordu. Sorduğumuzda da bozukmuş biz ne yapabiliriz gibi bir cevap aldık. 25-26 numaralı koltuklarda oturuyorduk priz sadece 26 numaralı koltuğun sağında vardı. 25 numaralı koltukta priz olup olmadığını sorduğumuzda şoför zaten berabersiniz beraber kullanın dedi. Yani bileti alırken vaat edilen özelliklerin hiçbirini 25 numaralı koltukta oturan bir yolcu olarak kullanamadım. Üstüne, Orduda verdiğimiz mola sonrası şiddetli yağmur sebebiyle otobüsün sunroofundan üzerimize yağmur suyu aktı ve iki şoför de bu durumu nasıl düzelteceğinden bir’haberdi. Şoför sürekli rica etmemize rağmen yarım saatte bir klimayı kapattı ve her kapattığında yanına gidip tekrar klimayı açması için rica etmek zorunda kaldık. Sonrasında Esenler otogarında ineceğimizi not aldıkları halde, daha Beykoz'a yeni vardığımız sıralarda biz uyurken ikinci şoför bizi uyandırıp “zaten geç kaldık temizlik yapmamız gerek ön taraflara oturun” diye emrivaki bir tavırla yerlerimizi değiştirdi. Biz de uyuduğumuz için varış noktasına ulaştığımızı sanmıştık fakat o şekilde 1 saat daha yola devam ettik. Son olarak da saat 12 de inmesi gereken aracımız 2:15 gibi Esenler otogarına varmıştı."
54,"07.06.2024'te bir bilet aldım, onun geri ödemesini henüz almadım. Ayrıca 14.06.2024'te bir tane bilet aldım, hâlâ daha geri ödeme alamadım. Güvenerek girdim, maalesef ki hayal kırıklığına uğradım. Yani bir aydan beri bekliyorum, hatta 2 ay olacak geri dönüş alamadım maalesef."
