ID,Markalar
111,Penti
112,BetterMe
113,Doğtaş Mobilya
114,Reeder
115,Tecno Mobile
116,e-Devlet (Turkiye.gov.tr)
117,Tıkla Gelsin
118,Köfteci Yusuf
119,İsem Kitap
120,Madame Coco
121,iPhone
122,PHILIPS TV
123,KFC
124,Findeks
125,İninal Kart
126,Armut
127,Migros Yemek
128,Bellona
129,Kuveyt Türk
130,UPS Türkiye
131,Decathlon
132,Evkur Alışveriş
133,Kolay Gelsin
134,Carrefour SA
135,YKMkitap
136,Popeyes
137,GrandPashaBet
138,Cvmaker.com.tr
139,Arzum
140,Apple
141,iData
142,Türk Kızılay
143,English Home
144,Ülker
145,BELBİM (İstanbulkart)
146,IKEA
147,Medical Park Hastanesi
148,adidas
149,Bir Günde Kargo
150,Turkcell TV+
151,Martı
152,Siemens Ev Aletleri
153,Bkmkitap
154,Ziraat Yatırım
155,Sağlık Bakanlığı
156,D-Smart Net
157,E-ticaret Marka Taklidiyle Dolandırıcılık
158,Sadenet
159,TÜVTÜRK
160,GetirYemek
161,Tom Pay
162,In Street
163,Eti Gıda
164,Tofisa
165,Huawei
166,SuperStep
167,Nike
168,DeFacto
169,VFS Global
170,Tefal
171,7Slots
172,ING
173,Bitay
174,Hoover
175,Binance
176,İndeks Kitap
177,Derimod
178,Enuygun.com
179,Atasun Optik
180,Fakir Ev Aletleri
181,Dijital Kurye
182,TikTak Kirala
183,Scotty
184,Tosla
185,İş Bulma Vaadiyle Dolandırıcılık
186,Letgo
187,Tatilbudur
188,Geldimarket
189,MoneyPay
190,TikTok
191,Nesine
192,PUBG (Pubgmobile.com)
193,Arya Gross
194,AFAD
195,Aile ve Sosyal Hizmetler Bakanlığı
196,Anadolu Hayat Emeklilik
197,Mango
198,Benim Hocam Yayınevi
199,D&R
200,TOKİ
201,LG
202,Renault
203,Telegram
204,Vodafone Pay
205,Kredi ve Yurtlar Kurumu
206,iyzico
207,HP
208,Emniyet Genel Müdürlüğü
209,Fiat
210,Şok Net
211,Sephora
212,Bimcell
213,Facebook
214,Sefamerve
215,1xBet
216,Yves Rocher
217,T.C. Cumhurbaşkanlığı
218,Aliexpress
219,Stradivarius
220,İzmir Büyükşehir Belediyesi
221,Korkmaz Mutfak Eşyaları
222,Allianz Sigorta
223,Saat & Saat
224,Mondial Motor
225,Shell
226,Bets10
227,İETT - İstanbul Elektrik Tramvay Tünel
228,Grundig
229,Holiganbet
230,Evde Paketleme Türkiye
231,ÖSYM
232,Taze Çiçek (tazecicek.com)
233,Jolly Tur
234,Google
235,Casinoviva
236,Omix
237,Schafer
238,BURULAŞ
239,Avva Giyim
240,SunExpress Hava Yolları
241,Altus
242,Matadorbet
243,Medicana Hospitals
244,Bershka
245,GDZ Elektrik Dağıtım
246,Bahis Siteleri Adıyla Dolandırıcılık
247,Puma
248,MHRS - 182
249,Queencasino
250,Kablo TV
251,Molfix
252,Pamukkale Turizm
253,Tavuk Dünyası
254,Algida
255,Koton
256,AgeSA Hayat ve Emeklilik
257,Modalife
258,Anadolu Üniversitesi
259,Onwin Bahis
260,Turkcell Pasaj
261,Yemeksepeti Market
262,Paribu
263,Vodafone Her Şey Yanımda
264,GetirAraç
265,Pull and Bear
266,PTT Bank
267,Devlet Kurumları ve STK'lar Adıyla Dolandırıcılık
268,Baymak
269,İtopya Bilgisayar
270,RKS Motor
271,Sleepy
272,Profilo
273,Avansas
274,Quick Sigorta
275,Deichmann
276,Netspeed
277,Gelir İdaresi Başkanlığı
278,Eyyo Atelier
279,U.S. Polo Assn.
280,Evde Ekişi Paketleme
281,Axa Sigorta
282,Oppo
283,McDonald's
284,PancakeSwap
285,DemirDöküm
286,Pluxee Türkiye
287,Boğaziçi Elektrik - BEDAŞ
288,Fibabanka
289,ROBLOX
290,Pandora Mücevher
291,ABB - Ankara Büyükşehir Belediyesi
292,Türkiye Finans
293,Opel
294,Kahve Dünyası
295,Binance TR
296,Anadolu Sigorta
297,Opet
298,Sneaks Up
299,Wnt.com.tr
300,Doping Hafıza
301,CFMOTO
302,Gençlik ve Spor Bakanlığı
303,Vizyon Elektronik Para
304,Rossmann
305,İŞKUR
306,Beymen
307,Konya Büyükşehir Belediyesi
308,Peugeot
309,DASK (Doğal Afet Sigortaları Kurumu)
310,Toroslar Elektrik Dağıtım
311,Philip Morris
312,Adalet Bakanlığı
313,QNB Finansinvest
314,Metlife Emeklilik ve Hayat
315,Masterpass
316,Starbucks
317,Eve
318,Paribu Cineverse
319,GeForce NOW powered by GAME+
320,Gmail
321,KVK
322,Bursa Büyükşehir Belediyesi
323,Dijitsu
324,H&M
325,Mondihome
326,EGO Genel Müdürlüğü
327,Ford
328,Trendyol Hızlı Market
329,Playweez
330,Lenovo Bilgisayar
331,YouTube
332,Sahabet
333,TCDD
334,Bambi Yatak
335,Google Play
336,Karcher
337,HepsiPay
338,Steam
339,Torku
340,Aksa Gaz
341,ECA
342,Ali Osman Ulusoy
343,Jumbo
344,Cambly
345,Daikin
346,Sigortam.net
347,Lumberjack
348,BaşarıBet
349,BinBin
350,jigolositesi.com.tr
351,TEDAŞ
352,Pronet
353,Kredi Kayıt Bürosu
354,Milli Piyango
355,Hyundai Assan
356,İtemSatış
357,ERESTA (SMS)
358,BMW
359,Marsbahis
360,Nüfus ve Vatandaşlık İşleri
361,SEDAŞ
362,Midas
363,Biletalsat.com
364,Shiny Force
365,Bubilet
366,PlayStation Türkiye
367,Nkolay
368,Etstur
369,Electrolux
370,Hepiyi Sigorta
371,Rampage
372,Greyder
373,Borusan Lojistik
374,ByFix Servis
375,Betturkey
376,HGS
377,Erikli Su
378,Bioderma
379,Citroen
380,Karaca Home
381,misli
382,Divanev
383,As Adana Seyahat
384,Sinbo
385,Numara Kime Ait
386,Isparta Petrol Turizm
387,Tatil Sepeti
388,Gamepower
389,Görev Yap Para Kazan
390,Nays
391,Çetinkaya
392,Kocaeli Büyükşehir Belediyesi
393,Metka Hukuk (SMS)
394,Yargıcı
395,CEVA Logistics
396,Homend
397,Pizza Hut
398,Prima
399,Spigen Türkiye
400,Gençer Gaming
401,Ada Beyan
402,Diyanet İşleri Başkanlığı
403,Suwen
404,Uludağ Turizm
405,Tarım Kredi Kooperatif Market
406,VayCasino
407,Buzlu Turizm
408,Morhipo
409,Oyku Wear
410,Aksigorta
411,Emsan Mutfak
412,1win
413,KazandıRio
414,Realme
415,Burgan Bank
416,Fenerium
417,BTCTURK
418,İpekyol
419,Pınar Et ve Süt
420,Sompo
421,Paytr
422,Petrol Ofisi
423,Taksiciler Odası
424,Şikayetvar
425,Bahiscasino
426,Çiçek Market
427,Gig Sigorta
428,Tipobet
429,PeP
430,Blutv
431,idefix
432,101 Okey Plus
433,Başkent Doğalgaz
434,PHILIPS
435,Antalya Büyükşehir Belediyesi
436,Chery
437,Birevim
438,Airfel
439,GMZ Hukuk
440,Taşpınar Alışveriş Merkezleri
441,Toyota
442,Nare Giyim
443,Sütaş
444,Kitap Seç
445,Bernardo
446,Kale Seyahat
447,Dilan Polat Estetik
448,Lufian
449,Banabilet.com
450,Ray Sigorta
451,Kitup
452,Nescafe
453,Manuka
454,Kabasakalonline.com
455,Efe Tur
456,Param
457,İşin Olsun
458,File Market
459,Elle Ayakkabı
460,Gıbırnet
461,Netflix
462,Betnano
463,Getmobil
464,Kuba Motor
465,Altınyıldız Classics
466,Luxell
467,Agoda.com
468,Tiamob
469,Dürümle
470,Ouno Service
471,Slazenger
472,MeritKing
473,Dicle Elektrik Dağıtım
474,Volta
475,İstanbul Minibüsçüler Odası
476,Betist
477,Moka
478,LOBBECO
479,Mobile Legends
480,COLIN’S
481,Başakşehir Çam ve Sakura Şehir Hastanesi
482,Medipol Sağlık Grubu
483,Lacoste
484,Kale Alarm
485,Awox
486,Acıbadem Hastanesi
487,Kralbet
488,FujiPlus
489,Snapchat
490,Sunny
491,Tonny Black
492,Bilyoner
493,Xslot
494,Little Big
495,Chippin
496,İşbir Yatak
497,Twitter
498,Tergan Deri
499,Baydöner
500,Gürgençler
501,VavaCars
502,Valorant
503,Mad Parfüm
504,Litmatch
505,Prontotour
506,GS Store
507,Burs Vaadiyle Dolandırıcılık
508,Dagi
509,Stanley
510,Trendyolmilla
511,Cashwin
512,Usta Dönerci
513,Pierre Cardin Giyim
514,MACFit (İstanbul Avrupa)
515,Mercedes-Benz
516,Starzbet
517,GetirSu
518,Biletix
519,Betine
520,TeknosaCell
521,telkotürk
522,PayPay
523,Simfer
524,Wbahis
525,İncehesap
526,Linkedin
527,Garena Free Fire
528,Parex
529,Volkswagen
530,Aktif Bank
531,Mado
532,Hotels.com
533,TCL Televizyon
534,Regal
535,Yemeksepeti Mahalle
536,istegelsin
537,Koray Spor
538,Xiaomi Yetkili Servis (Evofone)
539,Başkent Elektrik Dağıtım
540,Fansly
541,Varan Turizm
542,Garanti BBVA Emeklilik ve Hayat
543,Albaraka Türk
544,Doğa Sigorta
545,TotalEnergies İstasyonları
546,Bupa Acıbadem Sigorta
547,ADM Elektrik Dağıtım
548,ESHOT
549,Hummel
550,EminOtomotiv
551,Honda
552,HDI Sigorta
553,TCL Telefon
554,Hattuşa Vacation Thermal Club
555,Kariyer Kapısı
556,Microsoft
557,Hopi
558,Nine West
559,epin.com.tr
560,Uludağ Elektrik Dağıtım
561,Uğur Soğutma
562,Aile Sağlığı Merkezleri
563,Arora Motor
564,Civil Mağazacılık
565,Eureko Sigorta
566,Hiking
567,E-Nabız
568,İhlas Ev Aletleri
569,Hepsiburada İşOrtağım
570,Extrabet
571,Converse
572,Strawbery Wear
573,Camper
574,Kiwi Home
575,Spotify
576,Mariobet
577,Güven Hukuk (Sms)
578,Arnica Küçük Ev Aletleri
579,Togg
580,Bankacılık Düzenleme ve Denetleme Kurumu
581,BiP
582,İDO
583,BP Petrolleri
584,Evidea
585,Dacia
586,Flaw Wear
587,OrisBet
588,Casinom
589,Roborock
590,Network
591,CK Boğaziçi Elektrik
592,Oysho Giyim
593,YHT (Yüksek Hızlı Tren)
594,EA Sports
595,Vaillant
596,Jooble.org
597,Apple Store
598,Kitapyurdu
599,Bitci
600,Kitapsepeti
601,HSBC
602,Vileda
603,Loreal Paris
604,Bajaj
605,Vicco
606,Nestle
607,Alfemo
608,Garanti BBVA Yatırım
609,Tinder
610,Vina Seramik
611,Özkaymak Turizm
612,Tudors Gömlek
613,Procsin
614,HIQ Nutrition
615,Massimo Dutti
616,Genpa
617,Çilek Mobilya
618,Teşvik Programı
619,Muğla Büyükşehir Belediyesi
620,Coca-Cola
621,Betwoon
622,Sipay
623,Modamizbir.com
624,Disney+
625,Barçın Spor
626,dahadaha.com
627,Çetmen Mobilya
628,Magnum
629,Bitexen
630,Rinabet
631,Asus Bilgisayar
632,Polosmart
633,Kremlin Outlet
634,Casper Nirvana
635,Uber
636,Birarabam
637,TVS Motor
638,Lifebox
639,Nissan
640,İçim Süt ve Süt Ürünleri
641,Franke
642,Miraç Vakfı
643,Kim GB İster
644,Evdemo Lojistik
645,Betgit
646,Kent Kart
647,Novar Poliklinik
648,Ekici Peynir
649,Bahis.com
650,Pilsan Oyuncak
651,CZ London
652,Hayat Su
653,Atasay Kuyumculuk
654,Nilüfer Turizm
655,Tarafbet
656,Toshiba TV
657,İstinye Üniversitesi Hastanesi
658,On Dijital Bankacılık
659,TRT
660,Allianz Hayat ve Emeklilik
661,İstanbul Üniversitesi
662,Memorial Hastanesi
663,Sekabet
664,Brawl Stars
665,MEXC
666,Tamer Tanca
667,Superbetin
668,Faber-Castell
669,Otokoç
670,Otelz
671,Metro Grossmarket
672,BiTaksi
673,Biletinial.com
674,Sporjinal
675,Baywin
676,Flormar
677,Hakmar Gıda
678,Fissler
679,Yunbey İnşaat
680,Ticket Restaurant
681,Booking.com
682,AYEDAŞ
683,Mobilfix Bilişim
684,Elektrofoni
685,Kiğılı Giyim
686,Süha Turizm
687,General Mobile
688,Toyzz Shop
689,Mustela
690,"Çevre, Şehircilik ve İklim Değişikliği Bakanlığı"
691,La Roche - Posay
692,Komagene
693,Vakko
694,Kiko Milano
695,Betpark
696,Epic Games
697,Gate.io
698,Gündoğdu Mobilya
699,Neova Sigorta
700,Aveon Global Sigorta
701,Saka Su
702,Arby's
703,Garenta
704,Betkom
705,Hepsi Moda
706,Maydonoz Döner
707,Mapfre Sigorta
708,Mondy Shop
709,Avon Kozmetik
710,Ayakkabı Dünyası
711,Honda Motosiklet
712,Feribotlines
713,Güney Akdeniz Seyahat
714,Diziwatch
715,Passo
716,Mobilbahis
717,Pazarium
718,Trust Wallet
719,Columbia
720,Pidem Restaurant
721,Greenmotion Car Rental
722,Teka
723,Lansinoh
724,Betgaranti
725,Wiky Watch
726,Osevio.com
727,Kia
728,Betmatik
729,Ergül Mobilya
730,Atatürk Üniversitesi
731,FashFed
732,Aygaz
733,Bauhaus
734,Unico Sigorta
735,Vakıf Katılım Bankası
736,Multinet
737,Yüksek Seçim Kurulu (YSK)
738,Hepsiburada Market
739,Sennheiser
740,Sağlam Lisans
741,Montajix
742,Cratos Royal Bet
743,Supercell
744,SC Sarvin
745,BahseGel
746,Konfor Mobilya
747,Onur Market
748,Tepe Home
749,Robo
750,Doğa Koleji Eğitim Kurumları
751,Duolingo
752,Tuba Mutioğlu
753,Ak Yatırım
754,Poco Cep Telefonları
755,GetirÇarşı
756,Hadi - TOMBANK
757,Akdeniz Elektrik Dağıtım
758,SuperFresh
759,Nespresso
760,Step Master
761,RTÜK
762,İGDAŞ
763,SSC Tur
764,Ankara Bilkent Şehir Hastanesi
765,Gelecek Varlık Yönetim
766,The Purest Solutions
767,Guess
768,Kuzey Marmara Otoyolu
769,Tlcasino
770,Makbul
771,Airbnb
772,Payguru
773,Pepsi
774,Bambi Ayakkabı
775,Avis
776,Ulaştırma ve Altyapı Bakanlığı
777,Pttcell
778,Evshop
779,Adana Büyükşehir Belediyesi
780,Mopaş Hipermarket
781,Eskişehir Büyükşehir Belediyesi
782,Bisu
783,Zumla Sevgili Bul
784,Suit Güzellik Merkezleri
785,Modaselvim
786,Kinetix
787,Zen Pırlanta
788,Mostbet Casino
789,Nutella
790,Galabet
791,Kontur Turizm
792,NOW TV
793,MetropolCard
794,Comnet
795,eKuralkan
796,PayCO
797,Kiperin Collagen
798,Gaziantep Büyükşehir Belediyesi
799,Ödeal
800,Ankara Etlik Şehir Hastanesi
801,Uğur Okulları
802,Youwin
803,Charmé Butik
804,Hotiç Ayakkabı
805,Riot Games
806,Udemy
807,Ziraat Katılım Bankası
808,Yolcu360
809,Almanya Başkonsolosluğu
810,Happy Center
811,0850 484 05 24
812,Discord.com
813,Marshall Boya
814,Pre Dünyam
815,Tchibo
816,Lova Yatak
817,Ev Bazaar AVM
818,Gri Sigorta
819,Modanisa
820,Hazine ve Maliye Bakanlığı
821,Silverline
822,Alo 186 BEDAŞ Çağrı Merkezi
823,Matbet
824,Dünya Varlık
825,Sbarro
826,Armine
827,Adil Işık Group
828,Skytech
829,Veedz-tr.com
830,Vakıflar Genel Müdürlüğü
831,Favorisen
832,Sarsılmaz Silah
833,Bosch Termoteknoloji
834,BetKanyon
835,Jetlogi
836,Corby Drones
837,Mefete
838,YEDAŞ
839,Calvin Klein
840,Kutupayısı
841,Kariyer Adam
842,Meysadesign
843,Paşabahçe
844,Astor Turizm
845,Bargello Perfume
846,Saloon Burger
847,Dünya Göz Hastanesi
848,Mion
849,Loft
850,Güvence Hesabı
851,Pegem.net
852,DS Damat
853,Tesla
854,PizzaLazza
855,Extranet
856,Desa
857,Mindguru
858,Warmhaus
859,NomuPay
860,Katılım Emeklilik
861,Karayolları Genel Müdürlüğü
862,By Zehra Türk
863,Mudo
864,Qafiye Prive
865,Jobseeker
866,Betorspin
867,Paketlemeacentesi (Instagram)
868,JTI
869,RüzgarNet
870,Lescon
871,Fortes Mühendislik
872,Selin Shoes
873,Gimsa
874,Axen
875,Sigorta Bilgi ve Gözetim Merkezi
876,Playstore.com
877,GamerMarkt
878,Aura Cebilon
879,Tommy Hilfiger
880,TV8
881,Ghetto Swear
882,Liv Hospital
883,Özsüt
884,Lokman Hekim Hastaneleri
885,Brita
886,Fruugo
887,Google AdSense
888,Fuzul Otomotiv
889,Vivo
890,Butik Ponçik
891,Mersin Büyükşehir Belediyesi
892,Bein Sports
893,Samet A.Ş
894,Fest Danışmanlık ve Depolama
895,Altınbaş Mücevherat
896,Liva Pastanesi (livashop.com)
897,Netgsm
898,Freshio Fun
899,Çağdaş Marketler
900,Buderus
901,Kolan Hospital
902,Occasion
903,Ozan Elektronik Para
904,Fuzul Ev
905,Verifone
906,Sek Süt
907,HRAHIMEMTAL (SMS)
908,Enterprise
909,Piabella Casino
910,Bursa Kebap Evi
911,Tango Live
912,Sanal Çadır
913,Worldline
914,TP-Link
915,PaulMark
916,Little Caesars
917,Corpus Sigorta
918,Polisan
919,Ticaret Bakanlığı
920,İzban
921,Yuki Motor
922,Tuttur
923,Adobe
924,Vitra
925,Tokat Yıldızı
926,İpragaz
927,Baby Mall
928,Open English
929,Çerezya
930,sigortaladım.com
931,SEG
932,İstanbul Kalesi Seyahat
933,HangiKredi
934,İstanbul Senin
935,Global Satış
936,Skoda
937,Weltew Home
938,Baby Turco
939,HD İskender Restaurant
940,Villa Seyahat
941,Wix.com
942,FaceApp
943,Denebunu.com
944,Aypara
945,Aris Güzellik Merkezleri
946,TESKİ
947,Kilim Mobilya
948,BetCiO
949,UPTION
950,e-okul
951,Ben Turizm
952,Sinerji Bilgisayar
953,Uğurlu Çeyiz
954,Pilot Garage
955,S Sport Plus
956,İdaş
957,Pendik Belediyesi
958,Dardanel
959,Pusulabet
960,Yön İletişim - MNC Grup Telekominikasyon
961,Sixt
962,Sony Eurasia
963,Palette
964,Midasbuy
965,Guncelsikayetlerimiz.com
966,Betnbet
967,Mubi Türkiye
968,Ucuzabilet
969,Lays
970,Padişahbet
971,Eğlen Cepte
972,Infinix
973,HB Bilişim
974,Amerikan Kültür Yabancı Dil Kursları
975,Patırtı
976,Apple TV
977,Evmoda
978,Lisansnet
979,Xbox
980,Whatsapp Aero
981,Motolux
982,Toprak Mahsulleri Ofisi (TMO)
983,Zbahis
984,Aksu Çarşı
985,Tüketici Hakem Heyetleri
986,Oldubil
987,Ucuzpin.com
988,Sportive
989,İzmir Minibüsçüler Odası
990,Salomon Ayakkabı
991,Bianca Butik - Vanilin Design
992,KuCoin
993,DharmaCaim
994,Sepaş Enerji
995,Casper Via
996,Supplementler
997,Betebet
998,GPay
999,Sweet Bonanza
1000,Big Chefs
1001,FastPay
1002,MG Türkiye
1003,İstanbul Seyahat
1004,MACfit (İstanbul Anadolu)
1005,BNP Paribas Cardif Emeklilik
1006,Kartal Dr. Lütfi Kırdar Şehir Hastanesi
1007,Acıbadem Vakfı (Burs Başvurusu)
1008,Elitbahis
1009,WePlay
1010,Odeabank
1011,S'he Vec.
1012,Birnumara.com
1013,Hesap.com.tr
1014,UYAP
1015,Setur Turizm
1016,Viessmann Isı
1017,Ankara Minibüsçüler Odası
1018,Diyarbakır Büyükşehir Belediyesi
1019,Farmasi
1020,Keikei
1021,Adaxbet
1022,Kartal Yuvası
1023,Seatpin
1024,YTS Telekominikasyon
1025,Jetizz
1026,Viomi
1027,Binomo
1028,SHEIN
1029,Yayla Bakliyat
1030,Linay Çağrı Merkezi (plscagrimerkezi.net)
1031,Intersport
1032,Caddstore
1033,Öncü Döner
1034,Yön AVM
1035,BDH Bilişim Destek Hizmetleri
1036,QNB Sigorta
1037,Miele
1038,Nestlé İyi Büyüsün İyi Yaşasın
1039,Facebook MarketPlace
1040,Paribahis
1041,Goldmaster
1042,BuharKeyf
1043,HDI Fibaemeklilik
1044,New Balance
1045,Kıyafet Sepeti
1046,B&G Sportive
1047,Viennalife Emeklilik ve Hayat
1048,Zynga
1049,Betsat
1050,Tonguç Akademi
1051,Süvari Giyim
1052,Vangölü Turizm
1053,Özdilek AVM
1054,Ethica Sigorta
1055,Finish
1056,Lidio Ödeme Hizmetleri
1057,Hammer Jack
1058,Pragmatic Play
1059,Tuba Butik
1060,Tat Gıda
1061,Kim Market
1062,Bezmiâlem Vakıf Üniversitesi Hastanesi
1063,GameSatış
1064,Ruum Store
1065,Ruffles
1066,Papuc Konağı
1067,Appleturkiye.com (özel)
1068,Macro Center
1069,Arcelikavm.com
1070,Argivit
1071,Allianz Yaşam ve Emeklilik
1072,Dinamobet
1073,Başkent Turizm
1074,Vib Turizm Sakarya
1075,Reydeko Halı
1076,Eminevim
1077,Cimri
1078,Toybox
1079,BOVO
1080,Qarmacha
1081,Bizim Toptan Market
1082,Milyon Bilet
1083,Bağcılar Belediyesi
1084,Erdem Hastanesi
1085,İSPARK
1086,Çitlekçi
1087,Emlak Konut GYO
1088,Okeyplus.com
1089,Atv
1090,Denizli Büyükşehir Belediyesi
1091,Zurich Sigorta
1092,Havaist
1093,Bettilt
1094,Braun Kişisel Bakım Ürünleri
1095,Otorapor
1096,0850 557 30 02
1097,Doritos
1098,Maxi Gezi
1099,Online Lostra
1100,Mynet
1101,Trident
1102,Chakra
1103,Google Pay
1104,İmajbet
1105,Ankara Sigorta
1106,Sevgilimehediyem.com
1107,Mavi Kargo Lojistik Hizmetleri
1108,Sosyopix
1109,indomie
1110,Proteinocean
1111,Konami
1112,Manisa Büyükşehir Belediyesi
1113,Vozol
1114,İZGAZ
1115,Romabet
1116,Rayban
1117,Elekse Ödeme Kuruluşu
1118,Restbet
1119,Milli Savunma Bakanlığı
1120,Wow Petshop
1121,Modamerve
1122,Zula Oyun
1123,Direct Nexus Nebülizatör
1124,Çalışma ve Sosyal Güvenlik Bakanlığı
1125,Namet
1126,Lydsto
1127,Odepin.com
1128,Nivea
1129,Şanlıurfa Büyükşehir Belediyesi
1130,Pierre Cardin Home
1131,Doa Kozmetik
1132,Kunduz App
1133,A Life Hospital
1134,Aydın Büyükşehir Belediyesi
1135,Zuuks Games
1136,Twist
1137,Winxbet
1138,Stilevs
1139,Altınkılıç
1140,Payoneer
1141,Casinoper
1142,Kariyer.net
1143,Anketcepte.com
1144,İzmir Bayraklı Şehir Hastanesi
1145,İçişleri Bakanlığı
1146,İGA İstanbul Havalimanı
1147,Bahs (Bahsbar)
1148,Terra Pizza
1149,Ozmo
1150,Scatti
1151,Katılımoto
1152,İzmir Doğalgaz
1153,Mis
1154,Sanal Yağ Market
1155,Esenyurt Belediyesi
1156,Casinomaxi
1157,Anker Soundcore
1158,Adore Mobilya
1159,Western Union
1160,ASICS
1161,Betpas
1162,Arvato Lojistik
1163,Filli Boya
1164,Başyazıcı
1165,Şekerbank
1166,Türk Eczacılar Birliği
1167,Emlakjet
1168,Halk Yatırım
1169,VizyonMobil
1170,TURKISS
1171,Aztek Teknoloji
1172,Magdeburger Sigorta
1173,Doyuyo!
1174,Betnef
1175,Green Salads
1176,Göknet
1177,Koc Paketleme
1178,Öz Gülaras Turizm
1179,Tadelle
1180,İHH - İnsan Hak ve Hürriyetleri İnsani Yardım Vakfı
1181,Sneakerslife.tr
1182,Lezita
1183,Tedi Discount Tekstil Mağazacılık
1184,Cosmed
1185,Bursa Şehir Hastanesi
1186,Postegro
1187,United Payment
1188,Oyun Hanem
1189,Gencallar
1190,Balıkesir Büyükşehir Belediyesi
1191,İldem Ambalaj
1192,Bayspin
1193,Betexper
1194,GOBahis
1195,Benetton
1196,Tukaş
1197,Bereket Sigorta
1198,English Time
1199,Raks
1200,NN Hayat ve Emeklilik
1201,Çanakkale Truva Turizm
1202,Dermoeczanem
1203,Spor İstanbul
1204,UNO Ekmek
1205,Koru Sigorta
1206,Bee Beauty
1207,Bakbitatil.com
1208,Vialand Tema Park
1209,Lava
1210,Aras Turizm
1211,Simit Sarayı
1212,Tarım ve Orman Bakanlığı
1213,Retrobet
1214,Artema
1215,Supertotobet
1216,Marmaray
1217,Milupa
1218,Tabii
1219,Tapu ve Kadastro Genel Müdürlüğü
1220,Sovos Türkiye
1221,Garnier
1222,Çağrı Hipermarket
1223,Mspy
1224,Kosmos Vize Hizmetleri
1225,Fixbet
1226,Alanyalılar Turizm
1227,Ticimax
1228,Rent Go
1229,Kayseri Şehir Hastanesi
1230,Pinupbet
1231,Totemim.com
1232,AcnTurk Sigorta
1233,TP Petrol
1234,Mobbyland
1235,Porland
1236,Sermaye Piyasası Kurulu (SPK)
1237,Honor
1238,Kadınlar Bilir
1239,Revelio
1240,Hamidiye Su
1241,Ozdilekteyim.com
1242,Espressolab
1243,Tencent Games Türkiye
1244,Eva AVM
1245,Gümüşsuyu Halı
1246,Eskidji Bazaar
1247,Türk Nippon Sigorta
1248,Maltin Group
1249,Birşah
1250,S Sport
1251,Üsküdar Belediyesi
1252,Has Turizm
1253,Bosch Elektrikli El Aletleri
1254,Kocaeli Şehir Hastanesi
1255,AdımPara
1256,Acer
1257,Bingo
1258,YEPAŞ (Yeşilırmak Elektrik Perakende)
1259,Gain
1260,Coffy
1261,Yamaha Motosiklet
1262,Topçam Turizm
1263,Heifer
1264,Mardin Seyahat
1265,Özel Medar Hastaneleri
1266,HS Tasarım Organizasyon
1267,Bahçelievler Belediyesi
1268,ORIS Telekom
1269,Sencard
1270,Yaninet
1271,Pashagaming
1272,Norabahis
1273,iloveshoes.com.tr
1274,Pınar Su ve İçecek
1275,Logitech
1276,Meta Paketleme
1277,HINTELHB (SMS)
1278,British American Tobacco (BAT)
1279,Metrobahis
1280,House of Superstep
1281,Avec rent a car
1282,TRT Çocuk
1283,YönTürk İnternet
1284,We World Express
1285,DYO Boya
1286,Wee Baby
1287,Abdi İbrahim
1288,Atlasbet
1289,Betmoon
1290,Beyza Erdoğan
1291,Yatsan
1292,Gök Grup Depolama
1293,Troy Apple Premium Partner
